Country,Name,State,Year,Longitude,Latitude
India,Adpather Dam,Chhattisgarh,1979,81.943604,21.534641
India,Agariya Dam,Chhattisgarh,1977,81.779863,22.213282
India,Ajabnagar Dam,Chhattisgarh,1989,83.179538,23.127044
India,Amabeda Dam,Chhattisgarh,1981,81.494088,20.269451
India,Amakhokhra Dam,Chhattisgarh,1985,82.550424,22.612172
India,Amgaon Dam,Chhattisgarh,1978,80.768513,21.191394
India,Aondhi Dam,Chhattisgarh,0,81.175204,20.739418
India,Ayabhandha Dam,Chhattisgarh,2005,81.029266,21.097503
India,Badauli Dam,Chhattisgarh,1991,83.179538,23.127044
India,Badra Dam,Chhattisgarh,1988,82.208029,22.852551
India,Badrika Ashram Dam,Chhattisgarh,1986,83.179538,23.127044
India,Ballar Dam,Chhattisgarh,1980,82.492373,21.648248
India,Banjaridand Dam,Chhattisgarh,1982,82.208029,22.852551
India,Banki Dam,Chhattisgarh,1984,83.209893,23.116104
India,Bankipur Dam,Chhattisgarh,1988,83.179538,23.127044
India,Barat Sagar Dam,Chhattisgarh,2004,81.779863,22.213282
India,Bardar Dam,Chhattisgarh,2004,82.208029,22.852551
India,Barkela Dam,Chhattisgarh,1999,82.208029,22.852551
India,Barnai Dam,Chhattisgarh,0,83.207312,23.027247
India,Barpara Dam,Chhattisgarh,1980,82.208029,22.852551
India,Batra Dam,Chhattisgarh,2002,83.179538,23.127044
India,Beherakhar (Banjar ) Dam,Chhattisgarh,0,81.23195,22.015922
India,Belbehra Dam,Chhattisgarh,1967,82.208029,22.852551
India,Bhagwantola Dam,Chhattisgarh,1986,81.175204,20.739418
India,Bhortola Dam,Chhattisgarh,1993,81.175204,20.739418
India,Binjali Dam,Chhattisgarh,1988,81.660165,19.655972
India,Bisrampuri Dam,Chhattisgarh,1982,81.941532,19.40821
India,Bordi Dam,Chhattisgarh,0,81.175204,20.739418
India,Chaker Dam,Chhattisgarh,1980,81.23195,22.015922
India,Chamat Dam,Chhattisgarh,1986,83.205188,23.681248
India,Champi Dam,Chhattisgarh,2003,82.14695,22.270973
India,Charpara Dam,Chhattisgarh,1986,82.208029,22.852551
India,Chhirpani Dam,Chhattisgarh,1993,81.23195,22.015922
India,Chhota Palgi Dam,Chhattisgarh,2000,83.205188,23.681248
India,Chhuwari Pali Dam,Chhattisgarh,1981,83.130968,21.725556
India,Chikhali Dam,Chhattisgarh,1986,81.175204,20.739418
India,Chilputi Dam,Chhattisgarh,1982,81.660165,19.655972
India,Chiniya Dam,Chhattisgarh,1987,83.654615,23.679626
India,Chourasiya Dam,Chhattisgarh,1968,82.208029,22.852551
India,Dandgaon Dam,Chhattisgarh,1994,83.207312,23.027247
India,Darki Dam,Chhattisgarh,1986,83.209893,23.116104
India,Darritola Dam,Chhattisgarh,1910,81.264908,20.789638
India,Deokatta Dam,Chhattisgarh,1996,80.768513,21.191394
India,Deoripali Dam,Chhattisgarh,1986,82.724057,22.211713
India,Dhara Dam,Chhattisgarh,1961,80.768513,21.191394
India,Dhawanpur Dam,Chhattisgarh,1970,81.915683,22.264616
India,Dhupkot Dam,Chhattisgarh,0,81.835896,20.286836
India,Doura Dam,Chhattisgarh,1987,83.362156,23.609262
India,Dudhawa Dam,Chhattisgarh,1965,81.835896,20.286836
India,Fatehpur Dam,Chhattisgarh,1984,83.179538,23.127044
India,Fulwari Dam,Chhattisgarh,1991,81.779863,22.213282
India,Gagnai Dam,Chhattisgarh,1972,82.208029,22.852551
India,Ganeshpur Dam,Chhattisgarh,1985,82.208029,22.852551
India,Gangpur Dam,Chhattisgarh,2007,82.208029,22.852551
India,Ganiyari Dam,Chhattisgarh,0,82.086213,21.10415
India,Gej Dam,Chhattisgarh,2002,82.208029,22.852551
India,Ghatoi Dam,Chhattisgarh,1992,83.150172,21.830628
India,Ghoghra Dam,Chhattisgarh,1991,83.477832,22.849419
India,Ghongha Dam,Chhattisgarh,1981,81.915683,22.264616
India,Ghughwa Dam,Chhattisgarh,1967,81.821732,21.688603
India,Ghunghutta Dam,Chhattisgarh,0,83.207312,23.027247
India,Gondli Dam,Chhattisgarh,1956,81.175204,20.739418
India,Gouri Dam,Chhattisgarh,1985,81.494083,20.387674
India,Gunderdehi Dam,Chhattisgarh,1980,81.205425,21.055255
India,Gursia Dam,Chhattisgarh,1992,82.550424,22.612172
India,Hathlewa Dam,Chhattisgarh,1983,81.23195,22.015922
India,Jagannathpur Dam,Chhattisgarh,1976,83.179538,23.127044
India,Jamdih Dam,Chhattisgarh,1972,83.179538,23.127044
India,Jhalpi Dam,Chhattisgarh,1975,84.148729,22.875706
India,Jhingo Dam,Chhattisgarh,1984,83.362156,23.609262
India,Jhumka Dam,Chhattisgarh,1981,82.208029,22.852551
India,Junwani Dam,Chhattisgarh,1988,82.76237,22.272457
India,Kalidaraha Dam,Chhattisgarh,1974,83.089504,21.587355
India,Kanesar Dam,Chhattisgarh,0,81.846818,20.74857
India,Karakachhar Dam,Chhattisgarh,1987,83.444075,22.535178
India,Kartama Dam,Chhattisgarh,1987,83.179538,23.127044
India,Kasanpal Dam,Chhattisgarh,1982,81.748549,18.513659
India,Katangi Dam,Chhattisgarh,1982,83.089504,21.587355
India,Kathripali Dam,Chhattisgarh,1991,83.347949,22.133911
India,Kedarnalla Dam,Chhattisgarh,1971,83.089504,21.587355
India,Kehra Dam,Chhattisgarh,1991,82.724057,22.211713
India,Keshwa Dam,Chhattisgarh,1967,82.396748,21.0352
India,Khaliba Dam,Chhattisgarh,1988,83.179538,23.127044
India,Khallari Dam,Chhattisgarh,1992,82.396748,21.0352
India,Khanda Dam,Chhattisgarh,1986,83.179538,23.127044
India,Khapri Dam,Chhattisgarh,1908,81.205425,21.055255
India,Kharkhara Dam,Chhattisgarh,1967,81.175204,20.739418
India,Kharung Dam,Chhattisgarh,1930,82.255,22.270799
